Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.0037924,-8.2804E-06,0.00098887,0,0,0,0.15751,5.7357E-05,-1.0313E-08,-3.9253E-07,4.7444E-05,1.503E-09,7.2045E-05,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/base_link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/base_link.STL,,FR04-E120-1;FR04-E150-1;FR04-E175-1;AX-12-18-A-2;AX-12-18-A-4;AX-12-18-A-6,Coordinate System1,Axis_joint_203,joint_20,continuous,0.00025,0,0.017247,3.1416,0,-1.6319,base_linK,0,0,1,,,,,,,,,,,,0
right_arm_link_1,-6.07043908196214E-08,-0.0092320672392516,0.00517864249847516,0,0,0,0.00402029367652144,8.53462226825599E-07,1.70481193136309E-12,-1.05162132079151E-12,1.77130321667598E-06,2.51193243950454E-07,1.69099459342748E-06,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_1.STL,,FR04-H102-2,Origin_joint_1,Axis_joint_1,joint_1,continuous,0.00875,-0.05649,0.00275,3.1416,0,3.1416,base_link,0,1,0,,,,,,,,,,,,0
right_arm_link_2,-0.000501890512671105,-0.035219108255101,0.003125589769726,0,0,0,0.0883642393517848,2.19001716690432E-05,-8.80921683803909E-09,-1.89476813249764E-07,1.85292934705817E-05,2.01292818032304E-07,1.67002940787384E-05,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_2.STL,,FR04-SC101-3;AX-12-18-A-10;AX-12-18-A-8,Origin_joint_3,Axis_joint_3,joint_3,continuous,0,-0.0230095805758359,0.0179999999999591,-1.5707963267949,0,1.5707963267949,right_arm_link_1,0,0,1,,,,,,,,,,,,0
right_arm_link_3,0.00415752095634418,0.0477168328995845,-0.0163264630771301,0,0,0,0.0124405169193281,1.01511820933173E-05,-7.57219531539235E-09,-1.05248184037674E-12,3.65282468945604E-06,2.51193224626464E-07,9.92898397139806E-06,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_arm_link_3.STL,,FR04-H102-3;FR04-E180-1,Origin_joint_5,Axis_joint_5,joint_5,continuous,0,-0.0574,0.0182000000000002,1.5707963267949,0,3.14159265358979,right_arm_link_2,1,0,0,,,,,,,,,,,,0
left_arm_link_1,-6.07043890571424E-08,-0.0092320672392515,0.00517864249847648,0,0,0,0.00402029367652149,8.53462226825609E-07,1.70481192819739E-12,-1.05162131865276E-12,1.77130321667599E-06,2.51193243950455E-07,1.69099459342749E-06,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_1.STL,,FR04-H102-1,Origin_joint_2,Axis_joint_2,joint_2,continuous,0.00875,0.05649,0.00275,3.1416,0,0,base_link,0,1,0,,,,,,,,,,,,0
left_arm_link_2,0.000472372493798889,-0.0352486262739743,0.00312558976972636,0,0,0,0.0883642393517847,2.19001716690431E-05,-8.80921683803528E-09,1.92483601194287E-07,1.85292934705817E-05,1.80667596411727E-07,1.67002940787383E-05,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_2.STL,,FR04-SC101-4;AX-12-18-A-9;AX-12-18-A-7,Origin_joint_4,Axis_joint_4,joint_4,continuous,0,-0.0230095805758357,0.0179999999999604,-1.5707963267949,0,-1.5707963267949,left_arm_link_1,0,0,1,,,,,,,,,,,,0
left_arm_link_3,-0.00415756019096623,0.0477168328995842,-0.01632646319197,0,0,0,0.0124405169193281,1.01511820933173E-05,7.57560493926133E-09,-1.05248181858834E-12,3.65282468945609E-06,2.51193263274456E-07,9.92898397139807E-06,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_3.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/left_arm_link_3.STL,,FR04-H102-4;FR04-E180-2,Origin_joint_6,Axis_joint_6,joint_6,continuous,0,-0.0573999999999997,0.0182000000000009,1.5707963267949,0,3.14159265358979,left_arm_link_2,1,0,0,,,,,,,,,,,,0
torso_link,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/torso_link.STL,1,1,1,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/torso_link.STL,,FR04-E131-1,Origin_joint_19,Axis_joint_19,joint_19,continuous,0.00824999999999999,0,-0.02375,1.5707963267949,0,1.5707963267949,base_link,0,1,0,,,,,,,,,,,,0
right_leg_link_1,-0.0129819085295125,-0.00228500435172156,0.000908026149630231,0,0,0,0.047405027669223,7.27334637836052E-06,5.51374282894465E-08,1.90980207222024E-07,1.32375639686867E-05,-1.50339397226115E-09,1.18495804679192E-05,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_leg_link_1.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_leg_link_1.STL,,FR04-HC110-1;AX-12-18-A-13,Origin_joint_9,Axis_joint_9,joint_9,continuous,-0.016,-0.053500000000001,0,0,0,0,torso_link,0,0,1,,,,,,,,,,,,0
right_leg_link_2,-0.0130339683821673,-0.0436380731762434,-0.000505151739104481,0,0,0,0.0891171757796175,2.07420488419902E-05,1.89476813249684E-07,-1.92483601194145E-07,1.89661820142661E-05,-7.78205227092188E-08,1.90005912983823E-05,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_leg_link_2.STL,0.792156862745098,0.819607843137255,0.933333333333333,1,0,0,0,0,0,0,package://bioloidgp_cfg2/meshes/right_leg_link_2.STL,,FR04-SC110-1;AX-12-18-A-17;AX-12-18-A-19,Origin_joint_11,Axis_joint_11,joint_11,continuous,0,-0.0417999999999986,0,0,0,0,right_leg_link_1,1,0,0,,,,,,,,,,,,0
